"SLA";"delta13C";"LDMC";"Thickness";"Lifespan";"CMLX";"LNC";"ABA";"JA";"Growth_rate"
"45.66689676";NA;"68.76321353";"318.4507931";NA;NA;NA;NA;NA;"0.012412476"
"18.87333629";NA;"189.6244518";"279.4196751";NA;NA;NA;NA;NA;"0.018315871"
"40.90725896";"-31.96088775";"88.09167912";"277.5011146";NA;NA;"2.75187";NA;NA;"0.015332"
"18.48616927";"-29.96343384";"188.8755352";"286.4028707";NA;NA;"1.09057";NA;NA;"0.030271677"
"38.1196706";"-31.57590591";"97.45473629";"269.1831743";NA;NA;"3.42774";NA;NA;"0.013877"
"56.21210434";"-32.20346705";"64.54779154";"275.6060638";NA;NA;"6.34085";NA;NA;NA
"57.28437002";"-32.43029916";"70.11729659";"248.9652281";NA;NA;"5.54687";NA;NA;"0.007803579"
"17.4571981";"-31.12080486";"205.0192269";"279.4028735";NA;NA;"0.971484";NA;NA;"0.025377625"
"59.40263861";"-32.19152167";"66.18826509";"254.3391796";NA;NA;"7.18178";NA;NA;"0.00412575"
"44.8566024";"-31.8290436";"96.22709307";"231.6734458";NA;NA;"2.95996";NA;NA;"0.0132555"
"36.28602713";"-30.28229303";"103.4100974";"266.5002568";NA;NA;"3.07421";NA;NA;"0.0149135"
"37.30021566";"-32.34196595";"92.30072464";"290.4581364";NA;NA;"4.12656";NA;NA;"0.014518"
"52.20467136";"-31.72786978";"73.67237988";"260.0075353";NA;NA;"4.2314";NA;NA;"0.010517263"
"62.33746726";"-33.0392214";"65.40793348";"245.2564393";NA;NA;"6.54319";NA;NA;"0.007263176"
"72.5067725";"-33.05433581";"58.99245559";"233.789473";NA;NA;"6.54078";NA;NA;"0.008705529"
"75.40376876";"-32.90081427";"51.68583895";"256.5874301";NA;NA;"7.23592";NA;NA;"0.006806375"
"44.91053427";"-31.06800903";"81.62586166";"272.7872072";NA;NA;"3.39874";NA;NA;"0.0127335"
"18.80015661";"-29.06418672";"163.8141809";"324.7035511";NA;NA;"1.21186";NA;NA;"0.026087758"
"66.96069292";"-32.09686405";"64.99883096";"229.760049";NA;NA;"6.22073";NA;NA;"0.009360889"
"49.81197225";"-32.56245021";"61.56648452";"326.0783064";NA;NA;"7.46984";NA;NA;"0.00828575"
"14.68440304";"-30.80670047";"197.4634327";"344.8712741";NA;NA;"0.955703";NA;NA;"0.0261255"
