"individual_id";"identification";"idexp";"main_contributor";"indout";"exp_location";"conditionexp";"treatment";"genotype";"genetic_group";"plant_stage";"leaf_stage";"type_sample";"measurement";"leaf_status";"dateexp";"csr_c";"csr_s";"csr_r";"plant_lifespan";"sla";"ldmc";"delta13c";"delta15n";"lcc";"thickness";"plant_growth_rate";"rwc";"lnc";"sa";"ja";"iaa";"aba";"cmlx";"glucose";"sucrose";"fructose";"arabinose";"cellobiose";"fucose";"galactose";"inositol";"isomaltose";"maltose";"mannose_xylose";"melezitose";"melbiose";"palatinose";"raffinose";"rhamnose";"ribose";"trehalose";"xylose";"glucoalysiin";"glucobrassicin";"glucoerucin";"gluconapin";"gluconasturtiin";"glucoraphanin";"glucoraphenin";"epigallocatechin";"progoitrin";"epiprogoitrin";"isobutyl";"glucosinalbin";"sinigrin";"hexyl";"butyl";"neoglucobrassicinpeak1";"neoglucobrassicinpeak2";"x3mtp";"x5mtp";"x6msh";"x7msh";"x7mth";"x8mso";"x8mto";"apigeninrutinoside";"caffeicacid";"chlorogenicacid";"citrat";"cyanidinrhamnoside";"cyanidinsophorosidglucoside";"dihydrocaffeoylglucuronide";"fumarat";"kaempherolglucosylrhamnosylglucoside";"kaempherolrutinoside";"kaempherolxylosylrhamnoside";"malat";"mcoumaricacid";"pcoumaricacid";"pelargonidincumaroyldiglucoside";"pelargonidinsambubioside";"prenylnaringenin";"quercetinglucoside";"succinat";"maltose..97"
2788;"PlastEdge_2019-117";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Or-1";"south_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2789;"PlastEdge_2019-125";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"In-0";"central_europe";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2790;"PlastEdge_2019-136";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Gua-1";"spain";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;7.178860994;0;92.82113901;112;49.27115914;109.3596059;NA;NA;NA;185.5881677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2791;"PlastEdge_2019-148";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"TBO 01";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2792;"PlastEdge_2019-159";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Eden-1";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;8.275199851;0;91.72480015;123;46.61931577;91.75257732;NA;NA;NA;233.7845639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2793;"PlastEdge_2019-180";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"TBO 01";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2794;"PlastEdge_2019-118";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"San-2";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;10.08697393;0;89.91302607;131;32.43426262;127.4305556;NA;NA;NA;241.9481995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2795;"PlastEdge_2019-137";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Pla-0";"spain";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2796;"PlastEdge_2019-149";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Rennes-1";"western_europe";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2797;"PlastEdge_2019-160";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Ts-1";"spain";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
