"row$Identification";"genotype";"latitude";"longitude"
"AraBreed_Pilot_2017-64";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-69";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-62";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-75";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-77";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-70";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-84";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-85";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-81";"An-1";"51,2167";"4,4"
"AraBreed_Pilot_2017-93";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-96";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-89";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-101";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-103";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-97";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-108";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-112";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-107";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-119";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-122";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-114";"Co-1";"40,12";"-8,25"
"AraBreed_Pilot_2017-125";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-127";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-123";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-130";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-133";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-129";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-137";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-138";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-135";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-4";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-6";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-1";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-143";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-144";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-141";"Kil-0";"56";"-4"
"AraBreed_Pilot_2017-149";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-151";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-147";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-156";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-157";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-152";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-162";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-164";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-160";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-167";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-170";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-165";"Ler-0";"47,984";"10,8719"
"AraBreed_Pilot_2017-174";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-176";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-171";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-179";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-181";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-178";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-185";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-188";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-184";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-191";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-193";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-189";"Stw-0";"52";"36"
"AraBreed_Pilot_2017-200";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-203";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-196";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-10";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-13";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-8";"UKSE06-362";"51,3";"0,4"
"AraBreed_Pilot_2017-206";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-208";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-205";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-212";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-215";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-210";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-220";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-221";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-217";"Utrecht";"52,0918";"5,1145"
"AraBreed_Pilot_2017-228";"Gua-1";"39,4";"-5,33"
"AraBreed_Pilot_2017-231";"Gua-1";"39,4";"-5,33"
"AraBreed_Pilot_2017-224";"Gua-1";"39,4";"-5,33"
"AraBreed_Pilot_2017-236";"Gua-1";"39,4";"-5,33"
